Strain,Index
CBP-1645,ap_Ecotype1
CBP-1660,ap_Ecotype1
CBP-1670,ap_Ecotype1
CBP-1652,ap_Ecotype1
CBP-3061,ap_Ecotype1
CBP-1690,ap_Ecotype2
CBP-1752,ap_Ecotype2
CBP-1776,ap_Ecotype2
CBP-1777,ap_Ecotype2
CBP-3058,ap_Ecotype2
CBP-1760,ap_Ecotype2
CBP-3062,ap_Ecotype3
CBP-1669,ap_Ecotype4
CBP-1671,ap_Ecotype4
CBP-1672,ap_Ecotype4
CBP-2098,ap_Ecotype4
CBP-2099,ap_Ecotype4
CBP-2062,ap_Ecotype5
CBP-2065,ap_Ecotype5
CBP-1724,ap_Ecotype5
CBP-1649,ap_Ecotype6
CBP-2064,ap_Ecotype6
CBP-2067,ap_Ecotype6
CBP-2069,ap_Ecotype6
CBP-2063,ap_Ecotype6
CBP-2066,ap_Ecotype6
CBP-3064,ap_Ecotype6
CBP-3065,ap_Ecotype6
CBP1642,ap_Ecotype6
CBP-1687,ap_Ecotype7
CBP-1746,ap_Ecotype7
CBP-1731,ap_Ecotype7
CBP-3057,ap_Ecotype7
CBP-1741,ap_Ecotype7
CBP-1742,ap_Ecotype7
CBP-3049,ap_Ecotype7
CBP-1689,ap_Ecotype7
CBP-3060,ap_Ecotype7
CBP-1682,ap_Ecotype7
CBP-1762,ap_Ecotype7
CBP-3053,ap_Ecotype7
CBP-3054,ap_Ecotype7
CBP-3055,ap_Ecotype7
CBP-1767,ap_Ecotype7
CBP-1774,ap_Ecotype7
CBP-1772,ap_Ecotype7
CBP-1796,ap_Ecotype7
CBP-2075,ap_Ecotype7
CBP-1801,ap_Ecotype7
CBP-1650,ap_Ecotype8
CBP-1651,ap_Ecotype8
atr-type-strain,ap_Ecotype8
CBP-1668,ap_Ecotype8
CBP-1681,ap_Ecotype8
CBP-3063,ap_Ecotype8
CBP-1658,ap_Ecotype8
CBP-1661,ap_Ecotype8
CBP-2465,ap_Ecotype8
CBP-1678,ap_Ecotype8
CBP-3051,ap_Ecotype8
CBP-1646,ap_Ecotype8
CBP-3056,ap_Ecotype8
CBP-1684,ap_Ecotype8
CBP-1691,ap_Ecotype8
CBP-1771,ap_Ecotype8
CBP-2101,ap_Ecotype8
CBP-1786,ap_Ecotype8
CBP-2329,ap_Ecotype8
CBP-1790,ap_Ecotype8
CBP-2330,ap_Ecotype8
CBP-1800,ap_Ecotype8
CBP-1797,ap_Ecotype8
CBP-2331,ap_Ecotype8
CBP-2384,ap_Ecotype8
CBP-1789,ap_Ecotype8
CBP-2554,ap_Ecotype8
CBP-2387,ap_Ecotype8
CBP-2462,ap_Ecotype8
CBP-1803,ap_Ecotype8
CBP-2449,ia_Ecotype1
CBP-3068,ia_Ecotype1
CBP-2532,ia_Ecotype1
CBP-2379,ia_Ecotype1
CBP-2294,ia_Ecotype2
CBP-3039,ia_Ecotype2
CBP-1708,ia_Ecotype3
CBP-2396,ia_Ecotype3
CBP-2072,ia_Ecotype4
CBP-1880,ia_Ecotype5
CBP-2453,ia_Ecotype5
CBP-2267,ia_Ecotype5
CBP-2268,ia_Ecotype6
CBP-2372,ia_Ecotype7
CBP-3075,ia_Ecotype7
CBP-2186,ia_Ecotype7
CBP-2534,ia_Ecotype7
CBP-2264,ia_Ecotype7
CBP-2319,ia_Ecotype7
CBP-1721,ia_Ecotype8
CBP-1728,ia_Ecotype8
CBP-2355,ia_Ecotype8
CBP-3078,ia_Ecotype8
CBP-3076,ia_Ecotype8
CBP-3077,ia_Ecotype8
CBP-1921,ia_Ecotype8
CBP-2073,ia_Ecotype8
CBP-2380,ia_Ecotype8
CBP-1815,ia_Ecotype9
CBP-3080,ia_Ecotype9
CBP-2394,ia_Ecotype9
CBP-1825,ia_Ecotype9
CBP-1824,ia_Ecotype9
CBP-2393,ia_Ecotype9
CBP-3072,ia_Ecotype9
CBP-2333,ia_Ecotype9
CBP-2483,ia_Ecotype9
CBP-1808,ia_Ecotype10
CBP-1899,ia_Ecotype10
CBP-3092,ia_Ecotype10
CBP-1881,ia_Ecotype10
CBP-2454,ia_Ecotype10
CBP-2500,ia_Ecotype10
CBP-1725,ia_Ecotype10
CBP-2272,ia_Ecotype10
CBP-1806,ia_Ecotype10
CBP-3074,ia_Ecotype10
CBP-1851,ia_Ecotype11
CBP-2370,ia_Ecotype11
CBP-2493,ia_Ecotype11
CBP-2320,ia_Ecotype11
CBP-2300,ia_Ecotype11
CBP-2397,ia_Ecotype11
CBP-2323,ia_Ecotype11
CBP-2457,ia_Ecotype11
CBP-2358,ia_Ecotype11
CBP-2468,ia_Ecotype11
CBP-2467,ia_Ecotype11
CBP-2466,ia_Ecotype11
CBP-1726,ia_Ecotype12
CBP-3073,ia_Ecotype12
CBP-1807,ia_Ecotype12
CBP-2265,ia_Ecotype12
CBP-1915,ia_Ecotype12
CBP-1918,ia_Ecotype12
CBP-2400,ia_Ecotype12
CBP-2301,ia_Ecotype12
CBP-2302,ia_Ecotype12
CBP-2385,ia_Ecotype12
CBP-2481,ia_Ecotype12
CBP-2290,ia_Ecotype12
CBP-2371,ia_Ecotype12
CBP-1713,ia_Ecotype13
CBP-2386,ia_Ecotype13
CBP-2429,ia_Ecotype13
CBP-2442,ia_Ecotype13
CBP-2443,ia_Ecotype13
CBP-2516,ia_Ecotype13
CBP-1914,ia_Ecotype13
CBP-2332,ia_Ecotype13
CBP-2510,ia_Ecotype13
CBP-2197,ia_Ecotype13
CBP-2252,ia_Ecotype13
CBP-2225,ia_Ecotype13
CBP-2258,ia_Ecotype13
CBP-2398,ia_Ecotype13
CBP-2482,ia_Ecotype13
CBP-1641,ia_Ecotype14
CBP-3089,ia_Ecotype14
CBP-3090,ia_Ecotype14
CBP-3093,ia_Ecotype14
CBP-3081,ia_Ecotype14
CBP-3091,ia_Ecotype14
CBP-3088,ia_Ecotype14
CBP-3030,ia_Ecotype14
CBP-3041,ia_Ecotype14
CBP-3087,ia_Ecotype14
CBP-3083,ia_Ecotype14
CBP-3098,ia_Ecotype14
CBP-3070,ia_Ecotype14
CBP-2194,ia_Ecotype14
CBP-3071,ia_Ecotype14
ina_type_strain,ia_Ecotype14
CBP-2263,sp_Ecotype1
CBP-2318,sp_Ecotype1
CBP-2336,sp_Ecotype1
spi_type_strain,sp_Ecotype1
CBP-1811,sp_Ecotype2
CBP-2114,sp_Ecotype3
CBP-2135,sp_Ecotype3
CBP-2414,sp_Ecotype3
CBP-2311,sp_Ecotype3
CBP-1702,sp_Ecotype4
CBP-1718,sp_Ecotype4
CBP-3079,sp_Ecotype4
CBP-3033,sp_Ecotype4
CBP-2283,sp_Ecotype4
CBP-2284,sp_Ecotype4
CBP-1928,sp_Ecotype4
CBP-3034,sp_Ecotype4
CBP-2127,sp_Ecotype4
CBP-1817,sp_Ecotype4
CBP-2131,sp_Ecotype4
CBP-1948,sp_Ecotype4
CBP-1949,sp_Ecotype4
CBP-2163,sp_Ecotype4
CBP-2170,sp_Ecotype4
CBP-2213,sp_Ecotype4
CBP-2200,sp_Ecotype4
CBP-2193,sp_Ecotype4
CBP-2165,sp_Ecotype4
CBP-2203,sp_Ecotype4
CBP-2164,sp_Ecotype4
CBP-2198,sp_Ecotype4
CBP-2527,sp_Ecotype4
CBP-2278,sp_Ecotype4
CBP-2487,sp_Ecotype4
CBP-2419,sp_Ecotype4
CBP-2113,sp_Ecotype4
CBP-2130,sp_Ecotype4
CBP-2136,sp_Ecotype4
CBP-2122,sp_Ecotype4
CBP-2144,sp_Ecotype4
CBP-2134,sp_Ecotype4
CBP-2121,sp_Ecotype4
CBP-2140,sp_Ecotype4
CBP-2155,sp_Ecotype4
CBP-2139,sp_Ecotype4
CBP-2141,sp_Ecotype4
CBP-2150,sp_Ecotype4
CBP-2138,sp_Ecotype4
CBP-2145,sp_Ecotype4
CBP-2129,sp_Ecotype4
CBP-2438,sp_Ecotype4
CBP-2381,sp_Ecotype4
CBP-2464,sp_Ecotype4
CBP-2463,sp_Ecotype4
CBP-1848,sp_Ecotype4
CBP-1978,sp_Ecotype4
CBP-1885,sp_Ecotype4
CBP-1887,sp_Ecotype4
CBP-1923,sp_Ecotype4
CBP-1927,sp_Ecotype4
CBP-2551,sp_Ecotype4
CBP-2550,sp_Ecotype4
CBP-2217,sp_Ecotype4
CBP-2219,sp_Ecotype4
CBP-2215,sp_Ecotype4
CBP-2218,sp_Ecotype4
CBP-2403,sp_Ecotype4
CBP-2377,sp_Ecotype4
CBP-2431,sp_Ecotype4
CBP-1961,sp_Ecotype4
CBP-1965,sp_Ecotype4
CBP-2494,sp_Ecotype4
CBP-2541,sp_Ecotype4
CBP-1920,sp_Ecotype4
CBP-2214,sp_Ecotype4
CBP-2350,sp_Ecotype4
CBP-2471,sp_Ecotype4
CBP-2469,sp_Ecotype4
CBP-2433,sp_Ecotype4
CBP-2470,sp_Ecotype4
CBP-2434,sp_Ecotype4
CBP-1647,sp_Ecotype5
CBP-1648,sp_Ecotype5
CBP-1705,sp_Ecotype5
CBP-1696,sp_Ecotype5
CBP-1814,sp_Ecotype5
CBP-1910,sp_Ecotype5
CBP-3035,sp_Ecotype5
CBP-2285,sp_Ecotype5
CBP-2286,sp_Ecotype5
CBP-1723,sp_Ecotype5
CBP-1838,sp_Ecotype5
CBP-1987,sp_Ecotype5
CBP-2374,sp_Ecotype5
CBP-1935,sp_Ecotype5
CBP-2405,sp_Ecotype5
CBP-2458,sp_Ecotype5
CBP-3031,sp_Ecotype5
CBP-3032,sp_Ecotype5
CBP-2440,sp_Ecotype5
CBP-2451,sp_Ecotype5
CBP-2533,sp_Ecotype5
CBP-2279,sp_Ecotype5
CBP-2507,sp_Ecotype5
CBP-2343,sp_Ecotype5
CBP-2237,sp_Ecotype5
CBP-2349,sp_Ecotype5
CBP-2365,sp_Ecotype5
CBP-2366,sp_Ecotype5
CBP-2269,sp_Ecotype5
CBP-2526,sp_Ecotype5
CBP-2489,sp_Ecotype5
CBP-2324,sp_Ecotype5
CBP-2404,sp_Ecotype5
CBP-1823,sp_Ecotype5
CBP-1804,sp_Ecotype5
CBP-1843,sp_Ecotype5
CBP-1844,sp_Ecotype5
CBP-1980,sp_Ecotype5
CBP-1975,sp_Ecotype5
CBP-1976,sp_Ecotype5
CBP-2376,sp_Ecotype5
CBP-2295,sp_Ecotype5
CBP-2367,sp_Ecotype5
CBP-2244,sp_Ecotype5
CBP-2196,sp_Ecotype5
CBP-2250,sp_Ecotype5
CBP-2348,sp_Ecotype5
CBP-2412,sp_Ecotype5
CBP-2369,sp_Ecotype5
CBP-1991,sp_Ecotype5
CBP-1992,sp_Ecotype5
CBP-2185,sp_Ecotype5
CBP-2473,sp_Ecotype5
CBP-2262,sp_Ecotype5
CBP-2310,sp_Ecotype5
CBP-2436,sp_Ecotype5
CBP-2401,sp_Ecotype5
CBP-2435,sp_Ecotype5
CBP-1704,sp_Ecotype5
CBP-2303,sp_Ecotype5
CBP-2425,sp_Ecotype5
CBP-1862,sp_Ecotype5
CBP-2287,sp_Ecotype5
CBP-2490,sp_Ecotype5
CBP-2282,sp_Ecotype5
CBP-1944,sp_Ecotype5
CBP-1947,sp_Ecotype5
CBP-2424,sp_Ecotype5
CBP-1990,sp_Ecotype5
CBP-1933,sp_Ecotype5
CBP-2280,sp_Ecotype5
CBP-2409,sp_Ecotype5
CBP-2427,sp_Ecotype5
CBP-2423,sp_Ecotype5
CBP-2531,sp_Ecotype5
CBP-2410,sp_Ecotype5
CBP-2495,sp_Ecotype5
CBP-2488,sp_Ecotype5
CBP-2406,sp_Ecotype5
CBP-1805,sp_Ecotype5
CBP-2243,sp_Ecotype5
CBP-2456,sp_Ecotype5
CBP-2499,sp_Ecotype5
CBP-2503,sp_Ecotype5
CBP-2281,sp_Ecotype5
CBP-2528,sp_Ecotype5
CBP-2535,sp_Ecotype5