StrainName,CloneID,ChrisName,LabName,CollectionSite,Species,Soil_Type,Elevation,Elevation_class,Elevation group in meters,Lat_Degrees,Lat_Min,Lon_Degrees,Lon_Min,Date,Lat,Lon,calc_elevation,final_elevation
CBP-1848*,sp_collection1_7,S14C1II,S14C1II,S14,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-1987*,sp_collection95_1,N10b1,N10b1,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-1989,sp_collection1_12,N10b3,N10b3,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-1990*,sp_collection95_2,N10B3M,N10B3M,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-1991*,sp_collection95_4,N10b4,N10b4,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-1992*,sp_collection95_3,N10B4M,N10B4M,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2163*,sp_collection97_1,101-2,101-2,101,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2164*,sp_collection97_2,101-3,101-3,101,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2165*,sp_collection97_3,101-4,101-4,101,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2170*,sp_collection98_1,102-5,102-5,102,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2171,sp_collection98_1,102-6,102-6,102,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2185*,sp_collection1_13,105-3,105-3,105,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2186*,ia_collection2_2,105-4,105-4,105,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2193*,sp_collection45_1,16a-2,16a-2,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2194*,ia_collection2_3,16b-1,16b-1,16,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2195,sp_collection45_2,16b-2,16b-2,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2196*,sp_collection45_3,16b-3,16b-3,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2197*,ia_collection46_2,18a-1,18a-1,18,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2198*,sp_collection99_3,19b-1,19b-1,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2200*,sp_collection99_1,19b-3a,19b-3a,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2202,sp_collection99_1,19b-4,19b-4,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2203*,sp_collection99_2,19b-5,19b-5,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2205,sp_collection99_1,19b-7,19b-7,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2213*,sp_collection100_1,93-1,93-1,93,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2214*,sp_collection100_2,93-2,93-2,93,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2215*,sp_collection101_4,96-1,96-1,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2217*,sp_collection101_3,96-11,96-11,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2218*,sp_collection101_2,96-12,96-12,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2219*,sp_collection101_1,96-2,96-2,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2221,sp_collection101_1,96-4,96-4,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2223,sp_collection101_1,96-8,96-8,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2225*,ia_collection47_1,97-1,97-1,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2226,ia_collection47_1,97-2,97-2,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2227,ia_collection47_1,97-3,97-3,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2228,ia_collection47_1,97-4,97-4,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2229,ia_collection47_1,97-5,97-5,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2230,ia_collection47_1,97-6,97-6,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2231,ia_collection47_1,97-7,97-7,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2233,ia_collection47_1,97-9,97-9,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2237*,sp_collection102_1,98-2,98-2,98,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2243*,sp_collection102_3,98-7b,98-7b,98,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2244*,sp_collection102_2,98-9,98-9,98,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2250*,sp_collection45_2,16B2,16B2,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2251,sp_collection45_2,16B3,16B3,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2252*,ia_collection46_1,18A1,18A1,18,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2254,ia_collection47_1,97-1,97-1,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2255,ia_collection47_1,97-2,97-2,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2256,ia_collection47_1,97-3,97-3,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2257,ia_collection47_1,97-4,97-4,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2258*,ia_collection47_2,97-5,97-5,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2259,ia_collection47_1,97-6,97-6,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2260,ia_collection47_1,97-7,97-7,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2262*,sp_collection1_14,M13B10,M13B10,M13B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2263*,sp_collection1_15,M13C8,M13C8,M13C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2264*,ia_collection48_3,M15B1,M15B1,M15B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2265*,ia_collection48_2,M15B2,M15B2,M15B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2267*,ia_collection48_4,M15B4,M15B4,M15B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2268*,ia_collection48_1,M15B5,M15B5,M15B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2269*,sp_collection1_16,M16B1,M16B1,M16B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2272*,ia_collection2_4,M16B4,M16B4,M16B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2278*,sp_collection105_2,M18B2,M18B2,M18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2279*,sp_collection105_1,M18B3,M18B3,M18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2280*,sp_collection105_3,M18B4,M18B4,M18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2281*,sp_collection105_4,M18B5,M18B5,M18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2282*,sp_collection106_2,M19B1,M19B1,M19B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2283*,sp_collection106_5,M19B2,M19B2,M19B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2284*,sp_collection106_3,M19B3,M19B3,M19B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2285*,sp_collection106_1,M19B4,M19B4,M19B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2286*,sp_collection106_4,M19B5,M19B5,M19B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2287*,sp_collection1_17,M20B1,M20B1,M20B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2290*,ia_collection2_5,M20B4,M20B4,M20B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2294*,ia_collection2_6,M8B10,M8B10,M8B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2295*,sp_collection51_1,M8B7,M8B7,M8B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2296,sp_collection51_1,M8B8,M8B8,M8B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2300*,ia_collection52_2,N11C10,N11C10,N11C,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2301*,ia_collection52_1,N11C11,N11C11,N11C,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2302*,ia_collection52_3,N11C7,N11C7,N11C,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2303*,sp_collection1_18,N11C8,N11C8,N11C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2310*,sp_collection1_19,N12A6,N12A6,N12A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2311*,sp_collection1_20,N13A1,N13A1,N13A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2318*,sp_collection1_21,N14A1,N14A1,N14A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2319*,ia_collection53_3,N15A1,N15A1,N15A,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2320*,ia_collection53_2,N15A11,N15A11,N15A,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2323*,ia_collection53_1,N15A8,N15A8,N15A,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2324*,sp_collection1_22,N15A9,N15A9,N15A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2329*,ap_collection23_1,N17A11,N17A11,N17A,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,*
CBP-2330*,ap_collection23_2,N17A12,N17A12,N17A,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,
CBP-2331*,ap_collection23_3,N17A2,N17A2,N17A,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,
CBP-2332*,ia_collection54_1,N18A13,N18A13,N18A,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2333*,ia_collection54_2,N18A14,N18A14,N18A,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2336*,sp_collection54_2,N18A17,N18A17,N18A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2338,sp_collection54_1,N18A19,N18A19,N18A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2340,sp_collection54_1,N18A21,N18A21,N18A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2343*,sp_collection1_23,N19A13,N19A13,N19A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2348*,sp_collection1_24,N1C7,N1C7,N1C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2349*,sp_collection112_2,N20B1 I,N20B1 I,N20B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2350*,sp_collection112_1,N20B1 II,N20B1 II,N20B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2355*,ia_collection55_1,N9A10,N9A10,N9A,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2358*,ia_collection55_2,N9A14,N9A14,N9A,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2365*,sp_collection55_2,N9A9,N9A9,N9A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2366*,sp_collection55_1,N9A9I,N9A9I,N9A,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2367*,sp_collection56_4,N9B17,N9B17,N9B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2369*,sp_collection56_3,N9B19,N9B19,N9B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2370*,ia_collection56_1,N9B20,N9B20,N9B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2371*,ia_collection56_3,N9B21,N9B21,N9B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2372*,ia_collection56_2,N9B22,N9B22,N9B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2374*,sp_collection56_5,N9B24,N9B24,N9B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2376*,sp_collection56_1,N9B26,N9B26,N9B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2377*,sp_collection56_2,N9B27,N9B27,N9B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2379*,ia_collection56_4,N9B29,N9B29,N9B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2380*,ia_collection24_1,N9C1,N9C1,N9C,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2381*,sp_collection24_1,N9C13,N9C13,N9C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2384*,ap_collection24_1,N9C17,N9C17,N9C,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,*
CBP-2385*,ia_collection24_2,N9C19,N9C19,N9C,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2386*,ia_collection24_3,N9C2,N9C2,N9C,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2387*,ap_collection24_2,N9C20,N9C20,N9C,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,*
CBP-2388,sp_collection24_1,N9C7,N9C7,N9C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2389,sp_collection24_1,N9C8,N9C8,N9C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2419*,sp_collection93_2,S16B1,S16B1,S16B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2440*,sp_collection1_25,S20B3,S20B3,S20B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2451*,sp_collection84_2,S4B4,S4B4,S4B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2456*,sp_collection1_26,T10C12,T10C12,T10C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2457*,ia_collection2_9,T11B1,T11B1,T11B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2458*,sp_collection1_27,T11B2,T11B2,T11B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2462*,ap_collection2_11,T12B1,T12B1,T12B,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,*
CBP-2463*,sp_collection26_1,T12C1,T12C1,T12C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2464*,sp_collection26_2,T12C18,T12C18,T12C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2465*,ap_collection2_12,T12C4,T12C4,T12C,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,
CBP-2466*,ia_collection62_1,T13B1,T13B1,T13B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2467*,ia_collection62_2,T13B2,T13B2,T13B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2468*,ia_collection62_3,T13B3,T13B3,T13B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2469*,sp_collection115_2,T14B1,T14B1,T14B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2470*,sp_collection115_4,T14B2,T14B2,T14B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2471*,sp_collection115_3,T14B3,T14B3,T14B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2473*,sp_collection115_1,T14B5,T14B5,T14B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2481*,ia_collection2_10,T15C15,T15C15,T15C,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2482*,ia_collection64_1,T16B1,T16B1,T16B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2483*,ia_collection64_2,T16B2,T16B2,T16B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2487*,sp_collection116_4,T17B2,T17B2,T17B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2488*,sp_collection116_3,T17B3,T17B3,T17B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2489*,sp_collection116_1,T17B4,T17B4,T17B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2490*,sp_collection116_2,T17B5,T17B5,T17B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2493*,ia_collection2_11,T18B2,T18B2,T18B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2494*,sp_collection65_2,T18B3,T18B3,T18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2495*,sp_collection65_1,T18B4,T18B4,T18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2499*,sp_collection1_28,T18C8,T18C8,T18C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2500*,ia_collection2_12,T18C9,T18C9,T18C,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2503*,sp_collection1_29,T19C11,T19C11,T19C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2507*,sp_collection1_30,T20B2,T20B2,T20B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2510*,ia_collection67_2,T20C13,T20C13,T20C,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2516*,ia_collection67_1,T20C8,T20C8,T20C,inaquosorum,,-260,Low,Below 0 m,,,,,,,,,
CBP-2526*,sp_collection68_5,T5B1,T5B1,T5B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2527*,sp_collection68_6,T5B10,T5B10,T5B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2528*,sp_collection68_1,T5B2,T5B2,T5B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2531*,sp_collection68_3,T5B5,T5B5,T5B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2532*,ia_collection68_1,T5B6,T5B6,T5B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2533*,sp_collection68_4,T5B7,T5B7,T5B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2534*,ia_collection68_2,T5B8,T5B8,T5B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2535*,sp_collection68_2,T5B9,T5B9,T5B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2541*,sp_collection1_31,T5C9,T5C9,T5C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2550*,sp_collection120_2,T8B1,T8B1,T8B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2551*,sp_collection120_1,T8B2,T8B2,T8B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2552,sp_collection120_1,T8B3,T8B3,T8B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2553,sp_collection120_1,T8B4,T8B4,T8B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2554*,ap_collection27_1,T8C1,T8C1,T8C,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,
CBP-2555,ap_collection27_1,T8C3,T8C3,T8C,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,
CBP-2556,ap_collection27_1,T8C4,T8C4,T8C,atrophaeus,Free,-260,Low,below 1800 m,,,,,,,,,
CBP-1838*,sp_collection1_6,S3C-3,S3C-3,S3C,spizizenii,Free,-255.9,Low,Below 0 m,36,17.101,116,53.443,,36.28501667,-116.8907167,-255.9,-255.9
CBP-2449*,ia_collection2_8,S3C6,S3C6,S3C,inaquosorum,Free,-255.9,Low,Below 0 m,36,17.101,116,53.443,,36.28501667,-116.8907167,-255.9,-255.9
CBP-1843*,sp_collection84_3,S4B-2,S4B-2,S4B,spizizenii,Free,-255.1,Low,Below 0 m,36,17.095,116,53.455,,36.28491667,-116.8909167,-255.1,-255.1
CBP-1844*,sp_collection84_1,S4B-4,S4B-4,S4B,spizizenii,Free,-255.1,Low,Below 0 m,36,17.095,116,53.455,,36.28491667,-116.8909167,-255.1,-255.1
CBP-1851*,ia_collection2_1,S4C-3,S4C-3,S4C,inaquosorum,Free,-255.1,Low,Below 0 m,36,17.095,116,53.455,,36.28491667,-116.8909167,-255.1,-255.1
CBP-1862*,sp_collection1_8,S6B-2,S6B-2,S6B,spizizenii,Free,-252.3,Low,Below 0 m,36,17.095,116,53.502,,36.28491667,-116.8917,-252.3,-252.3
CBP-1880*,ia_collection40_1,S8C-1I,S8C-1I,S8C,inaquosorum,Free,-250.1,Low,Below 0 m,36,17.094,116,53.523,,36.2849,-116.89205,-250.1,-250.1
